Project ID,Planned Cost ($ M),Projected/Actual Cost ($ M)
2318,5.348,5.348
2319,2.182,2.182
2320,2.640574,2.532324
2321,15.3,14.961095000000002
2323,2.55,2.55
2324,8.0,8.0
2325,3.9019999999999997,2.0393380000000003
2326,0.1,0.1
2327,0.9148299999999999,0.9148299999999999
2328,1.358783,1.358783
2329,20.860999,20.215944
2330,70.94800000000002,70.94800000000002
2331,0.427537,0.427537
2332,8.914019999999997,5.49115
2335,45.858336,45.858336
2336,82.62749000000002,82.62749000000002
2337,52.195877,52.195877
2338,4.0,0.925359
2339,13.028134,12.858792999999999
2340,1.744313,1.744313
2341,2.552,2.552
2342,0.249,0.249
2343,0.15,0.15
2344,1.003416,1.07326
2345,2.6,2.6
2346,1.8948099999999999,1.8948099999999999
2347,2.7,2.7
2348,0.431166,0.431166
2349,9.181281,7.260858
2350,5.3617040000000005,5.3617040000000005
2351,1.2,1.2
2352,1.52,1.52
2353,1.7022560000000002,1.7022560000000002
2354,1.688296,1.688296
2355,0.11800000000000001,0.11800000000000001
2356,2.2430000000000003,2.2430000000000003
2357,0.5025069999999999,0.5025069999999999
2358,2.332,2.2095700000000003
2359,26.043430999999998,26.387297999999998
2360,4.005,4.005
2361,6.281751,6.598981
2362,7.399836,7.399836
